ALGORITHM,NUMBER OF ELEMENTS,NUMBER OF COMPARISONS,NUMBER OF SWAPS
BUBBLE,7,21,9
BUBBLE,74,2701,1272
BUBBLE,76,2850,1024
BUBBLE,94,4371,2093
BUBBLE,14,91,56
BUBBLE,91,4095,1967
BUBBLE,63,1953,871
BUBBLE,95,4465,2417
BUBBLE,44,946,506
BUBBLE,30,435,228
BUBBLE,98,4753,2567
BUBBLE,85,3570,1717
BUBBLE,7,21,15
BUBBLE,15,105,51
BUBBLE,58,1653,925
BUBBLE,64,2016,1114
BUBBLE,17,136,67
BUBBLE,45,990,501
BUBBLE,19,171,88
BUBBLE,37,666,299
BUBBLE,95,4465,2109
BUBBLE,50,1225,516
BUBBLE,50,1225,526
BUBBLE,27,351,209
BUBBLE,18,153,88
BUBBLE,62,1891,898
BUBBLE,72,2556,1198
BUBBLE,72,2556,1258
BUBBLE,25,300,133
BUBBLE,55,1485,761
BUBBLE,31,465,263
BUBBLE,48,1128,610
BUBBLE,49,1176,547
BUBBLE,43,903,461
BUBBLE,6,15,9
BUBBLE,80,3160,1529
BUBBLE,20,190,88
BUBBLE,16,120,63
BUBBLE,54,1431,651
BUBBLE,86,3655,1742
BUBBLE,100,4950,2418
BUBBLE,13,78,43
BUBBLE,34,561,230
BUBBLE,23,253,142
BUBBLE,44,946,418
BUBBLE,79,3081,1554
BUBBLE,54,1431,707
BUBBLE,58,1653,844
BUBBLE,29,406,179
BUBBLE,48,1128,464
BUBBLE,59,1711,799
BUBBLE,90,4005,1601
BUBBLE,59,1711,846
BUBBLE,59,1711,808
BUBBLE,39,741,350
BUBBLE,52,1326,622
BUBBLE,29,406,201
BUBBLE,55,1485,673
BUBBLE,16,120,59
BUBBLE,75,2775,1397
BUBBLE,21,210,112
BUBBLE,34,561,297
BUBBLE,48,1128,534
BUBBLE,73,2628,1129
BUBBLE,40,780,425
BUBBLE,39,741,392
BUBBLE,86,3655,1494
BUBBLE,68,2278,1232
BUBBLE,66,2145,1035
BUBBLE,39,741,385
BUBBLE,44,946,569
BUBBLE,43,903,437
BUBBLE,97,4656,2140
BUBBLE,30,435,206
BUBBLE,69,2346,1167
BUBBLE,18,153,85
BUBBLE,25,300,123
BUBBLE,50,1225,528
BUBBLE,83,3403,1576
BUBBLE,51,1275,635
BUBBLE,8,28,14
BUBBLE,84,3486,1495
BUBBLE,73,2628,1493
BUBBLE,66,2145,1104
BUBBLE,65,2080,879
BUBBLE,94,4371,2229
BUBBLE,16,120,64
BUBBLE,38,703,297
BUBBLE,99,4851,2537
BUBBLE,28,378,211
BUBBLE,97,4656,2322
BUBBLE,72,2556,1248
BUBBLE,78,3003,1423
BUBBLE,79,3081,1300
BUBBLE,98,4753,2296
BUBBLE,46,1035,481
BUBBLE,75,2775,1292
BUBBLE,35,595,282
BUBBLE,86,3655,1648
BUBBLE,68,2278,1048
QUICK,7,11,11
QUICK,74,409,409
QUICK,76,445,445
QUICK,94,545,545
QUICK,14,43,43
QUICK,91,593,593
QUICK,63,321,321
QUICK,95,672,672
QUICK,44,271,271
QUICK,30,117,117
QUICK,98,553,553
QUICK,85,465,465
QUICK,7,12,12
QUICK,15,48,48
QUICK,58,278,278
QUICK,64,341,341
QUICK,17,66,66
QUICK,45,239,239
QUICK,19,76,76
QUICK,37,166,166
QUICK,95,585,585
QUICK,50,233,233
QUICK,50,271,271
QUICK,27,104,104
QUICK,18,56,56
QUICK,62,367,367
QUICK,72,393,393
QUICK,72,368,368
QUICK,25,113,113
QUICK,55,300,300
QUICK,31,135,135
QUICK,48,220,220
QUICK,49,237,237
QUICK,43,193,193
QUICK,6,9,9
QUICK,80,512,512
QUICK,20,70,70
QUICK,16,60,60
QUICK,54,286,286
QUICK,86,547,547
QUICK,100,621,621
QUICK,13,32,32
QUICK,34,141,141
QUICK,23,85,85
QUICK,44,194,194
QUICK,79,451,451
QUICK,54,324,324
QUICK,58,322,322
QUICK,29,119,119
QUICK,48,261,261
QUICK,59,301,301
QUICK,90,524,524
QUICK,59,306,306
QUICK,59,272,272
QUICK,39,182,182
QUICK,52,265,265
QUICK,29,107,107
QUICK,55,391,391
QUICK,16,46,46
QUICK,75,436,436
QUICK,21,75,75
QUICK,34,162,162
QUICK,48,222,222
QUICK,73,440,440
QUICK,40,183,183
QUICK,39,197,197
QUICK,86,501,501
QUICK,68,398,398
QUICK,66,408,408
QUICK,39,190,190
QUICK,44,215,215
QUICK,43,191,191
QUICK,97,663,663
QUICK,30,143,143
QUICK,69,401,401
QUICK,18,73,73
QUICK,25,103,103
QUICK,50,264,264
QUICK,83,596,596
QUICK,51,288,288
QUICK,8,14,14
QUICK,84,518,518
QUICK,73,388,388
QUICK,66,335,335
QUICK,65,328,328
QUICK,94,577,577
QUICK,16,50,50
QUICK,38,208,208
QUICK,99,661,661
QUICK,28,107,107
QUICK,97,730,730
QUICK,72,425,425
QUICK,78,475,475
QUICK,79,439,439
QUICK,98,580,580
QUICK,46,223,223
QUICK,75,455,455
QUICK,35,177,177
QUICK,86,535,535
QUICK,68,350,350
BUBBLE,51,1275,493
BUBBLE,28,378,181
BUBBLE,12,66,40
BUBBLE,47,1081,451
BUBBLE,13,78,38
BUBBLE,51,1275,645
BUBBLE,27,351,160
BUBBLE,47,1081,642
BUBBLE,93,4278,2209
BUBBLE,22,231,110
BUBBLE,88,3828,2012
BUBBLE,26,325,170
BUBBLE,45,990,483
BUBBLE,23,253,135
BUBBLE,48,1128,567
BUBBLE,72,2556,1260
BUBBLE,78,3003,1585
BUBBLE,31,465,182
BUBBLE,33,528,231
BUBBLE,5,10,7
BUBBLE,67,2211,1161
BUBBLE,68,2278,1133
BUBBLE,58,1653,754
